,Average Mean Surface Air Temperature (Â°C)
1901,25.76
1902,25.76
1903,25.71
1904,25.64
1905,25.73
1906,25.75
1907,25.67
1908,25.69
1909,25.7
1910,25.69
1911,25.95
1912,26.02
1913,25.95
1914,26.09
1915,26.07
1916,25.87
1917,25.74
1918,25.65
1919,26.04
1920,25.96
1921,25.84
1922,25.88
1923,25.83
1924,25.84
1925,25.8
1926,25.96
1927,25.88
1928,25.89
1929,25.76
1930,25.96
1931,26.06
1932,25.79
1933,25.83
1934,25.72
1935,25.93
1936,25.92
1937,25.95
1938,25.87
1939,25.83
1940,26.01
1941,26.48
1942,25.77
1943,25.74
1944,25.76
1945,25.77
1946,25.8
1947,25.86
1948,25.95
1949,25.91
1950,25.97
1951,25.9
1952,25.86
1953,25.95
1954,25.77
1955,25.66
1956,25.51
1957,25.91
1958,26.07
1959,25.83
1960,25.89
1961,25.6
1962,25.5
1963,25.56
1964,25.58
1965,25.45
1966,25.74
1967,25.47
1968,25.51
1969,25.76
1970,25.67
1971,25.54
1972,25.92
1973,26
1974,25.6
1975,25.61
1976,25.42
1977,25.68
1978,25.8
1979,25.89
1980,25.84
1981,25.96
1982,25.98
1983,26.29
1984,25.6
1985,25.79
1986,25.86
1987,26.22
1988,26.07
1989,25.86
1990,26.22
1991,26.22
1992,26.13
1993,26.06
1994,26.14
1995,26.19
1996,26.1
1997,26.42
1998,26.78
1999,26.16
2000,26.3
2001,26.39
2002,26.57
2003,26.38
2004,26.32
2005,26.37
2006,26.27
2007,26.21
2008,26.02
2009,26.31
2010,26.46
2011,26.23
2012,26.41
2013,26.51
2014,26.42
2015,26.66
2016,26.93
2017,26.5
2018,26.54
2019,26.82
2020,26.7
2021,26.48
2022,26.35
2023,26.78
2024,27.06