Entity,Code,Year,Temperature anomaly
Malaysia,MYS,1940,-1.4087962
Malaysia,MYS,1941,-1.4435433
Malaysia,MYS,1942,-1.6868725
Malaysia,MYS,1943,-1.6806203
Malaysia,MYS,1944,-1.4389428
Malaysia,MYS,1945,-1.7639884
Malaysia,MYS,1946,-1.5630034
Malaysia,MYS,1947,-1.5598623
Malaysia,MYS,1948,-1.5237088
Malaysia,MYS,1949,-1.2903761
Malaysia,MYS,1950,-1.2381679
Malaysia,MYS,1951,-1.0182976
Malaysia,MYS,1952,-0.9233529
Malaysia,MYS,1953,-0.9544527
Malaysia,MYS,1954,-1.3560238
Malaysia,MYS,1955,-1.2449569
Malaysia,MYS,1956,-1.370192
Malaysia,MYS,1957,-1.0054423
Malaysia,MYS,1958,-0.6779644
Malaysia,MYS,1959,-0.96357316
Malaysia,MYS,1960,-0.8959529
Malaysia,MYS,1961,-0.9033742
Malaysia,MYS,1962,-0.99534464
Malaysia,MYS,1963,-0.90585375
Malaysia,MYS,1964,-0.86449987
Malaysia,MYS,1965,-1.1425294
Malaysia,MYS,1966,-1.2813506
Malaysia,MYS,1967,-1.2232839
Malaysia,MYS,1968,-1.0582296
Malaysia,MYS,1969,-0.8172488
Malaysia,MYS,1970,-0.8702574
Malaysia,MYS,1971,-1.1950507
Malaysia,MYS,1972,-0.80945855
Malaysia,MYS,1973,-0.6066802
Malaysia,MYS,1974,-1.0525001
Malaysia,MYS,1975,-0.98092955
Malaysia,MYS,1976,-0.9512488
Malaysia,MYS,1977,-0.69249517
Malaysia,MYS,1978,-0.48173285
Malaysia,MYS,1979,-0.39850616
Malaysia,MYS,1980,-0.44787613
Malaysia,MYS,1981,-0.4601461
Malaysia,MYS,1982,-0.50722265
Malaysia,MYS,1983,-0.12241125
Malaysia,MYS,1984,-0.8933738
Malaysia,MYS,1985,-0.692976
Malaysia,MYS,1986,-0.6025157
Malaysia,MYS,1987,-0.24467881
Malaysia,MYS,1988,-0.36093935
Malaysia,MYS,1989,-0.6143686
Malaysia,MYS,1990,-0.2514259
Malaysia,MYS,1991,-0.4022851
Malaysia,MYS,1992,-0.4314742
Malaysia,MYS,1993,-0.4755354
Malaysia,MYS,1994,-0.354009
Malaysia,MYS,1995,-0.30027246
Malaysia,MYS,1996,-0.39976454
Malaysia,MYS,1997,-0.20604913
Malaysia,MYS,1998,0.48377466
Malaysia,MYS,1999,-0.37667957
Malaysia,MYS,2000,-0.24594815
Malaysia,MYS,2001,-0.17031574
Malaysia,MYS,2002,0.097561836
Malaysia,MYS,2003,-0.020161629
Malaysia,MYS,2004,0.0036551158
Malaysia,MYS,2005,0.15822299
Malaysia,MYS,2006,-0.10014597
Malaysia,MYS,2007,-0.11808157
Malaysia,MYS,2008,-0.3124396
Malaysia,MYS,2009,0.058842022
Malaysia,MYS,2010,0.2637205
Malaysia,MYS,2011,-0.10801029
Malaysia,MYS,2012,-0.035161495
Malaysia,MYS,2013,0.120382786
Malaysia,MYS,2014,0.08141327
Malaysia,MYS,2015,0.31094027
Malaysia,MYS,2016,0.75983495
Malaysia,MYS,2017,0.27453503
Malaysia,MYS,2018,0.32621798
Malaysia,MYS,2019,0.6228344
Malaysia,MYS,2020,0.4944024
Malaysia,MYS,2021,0.19860204
Malaysia,MYS,2022,0.11286545
Malaysia,MYS,2023,0.5606961
Malaysia,MYS,2024,0.9048068