,Precipitation (mm)
1901,2704.03
1902,3173.6
1903,2613.01
1904,2753.47
1905,2698.66
1906,2818.88
1907,2812.84
1908,2954.32
1909,2881.42
1910,3234.54
1911,2795.9
1912,2715.42
1913,3081.58
1914,2638.84
1915,2827.68
1916,3018.24
1917,3306.88
1918,3200.07
1919,2666.56
1920,2699.18
1921,3032.15
1922,3069.99
1923,2927.27
1924,3302.46
1925,3522.27
1926,2964.43
1927,3196.77
1928,3019.67
1929,2891.64
1930,2705.83
1931,2978.66
1932,3273.88
1933,3207.57
1934,3420.48
1935,3146.72
1936,3255.62
1937,3184.74
1938,3078.98
1939,2962.88
1940,2665.47
1941,2790.99
1942,3050.96
1943,2768.1
1944,2722.2
1945,3235.26
1946,2902.46
1947,3135.59
1948,2790.26
1949,3168
1950,2924.12
1951,2998.34
1952,3071.45
1953,2973.85
1954,3244.17
1955,3019.7
1956,3177
1957,2777.38
1958,2618.86
1959,2998.74
1960,2887.67
1961,2740.44
1962,3058.88
1963,2772.29
1964,2808.87
1965,2922.46
1966,3219.84
1967,2993.65
1968,2749.54
1969,2887.85
1970,2986.46
1971,2955.16
1972,2454.39
1973,3097.16
1974,2774.48
1975,3020.38
1976,2611.06
1977,2830.68
1978,2539.05
1979,2760.63
1980,3017.72
1981,2885.97
1982,2548.09
1983,2653.52
1984,3306.6
1985,2819.02
1986,2751.69
1987,2634.41
1988,3276.15
1989,2700.19
1990,2406.34
1991,2650.01
1992,2442.61
1993,2800.13
1994,2956.59
1995,3190.95
1996,3170.28
1997,2500.5
1998,2640.38
1999,3401.36
2000,3259.31
2001,2964.25
2002,2618.22
2003,3104.61
2004,2781.46
2005,2778.28
2006,3111.03
2007,3240.98
2008,3568.85
2009,3398.91
2010,3093.6
2011,3430.31
2012,3208.26
2013,3082.36
2014,2799.98
2015,2653.89
2016,2822.66
2017,3253.44
2018,3232.62
2019,2587.58
2020,3041.17
2021,3286.35
2022,3482.76
2023,3097.8
2024,3123.9