"Month","Year 1992","Year 1993","Year 1994","Year 1995","Year 1996","Year 1997","Year 1998","Year 1999","Year 2000","Year 2001","Year 2002","Year 2003","Year 2004","Year 2005","Year 2006","Year 2007","Year 2008","Year 2009","Year 2010","Year 2011","Year 2012","Year 2013","Year 2014","Year 2015","Year 2016","Year 2017","Year 2018","Year 2019","Year 2020","Year 2021","Year 2022","Year 2023","Year 2024","Year 2025"
"Jan",,-20.218010000000003,9.276858,8.349037000000001,-6.701417,3.8569687999999998,-57.414863,62.851420000000005,61.305594,35.753414,3.37612,57.46739,2.3905443999999996,21.921415,56.937844,66.08134,65.66334,128.03973,71.04438,149.01555,113.2164,137.33494,90.83947500000001,113.775045,57.969354,128.39498999999998,98.102294,87.52143,38.792446,162.4426,123.31873,159.18805,113.29501,196.34125
"Feb",,-65.20349,-75.19247,-17.647197,17.949521999999998,-14.248708,-77.686325,0.6975888,35.75658,50.219167,2.0139457,-11.76817,-2.7433196,-36.337778,11.805634000000001,-48.1793,73.130034,12.083218,4.139749,62.79757,62.998670000000004,78.09669,23.57626,31.021642,90.4383,78.12694,65.55078999999999,31.496026000000004,60.11573,65.3143,127.57072,139.02770999999998,65.71501500000001,104.55018000000001
"Mar",,-92.153125,-32.353565,-72.444364,-106.06385999999999,-70.580214,-85.62931999999999,-57.306036,-4.548411,-28.014643,-67.80072,-37.078680000000006,-32.095622,-51.419810000000005,-40.271066000000005,-29.202249,15.121983,-8.207924,4.7158929999999994,67.57818,60.821317,28.522948,-0.7315372,-14.800521,14.693579,11.215734999999999,6.4622904,0.79936546,-29.253177,33.346303,57.383365999999995,53.290296,47.1345,84.61291999999999
"Apr",,-106.54304,-95.03455500000001,-79.354905,-59.02271,-110.86556,-113.25358,-24.532360999999998,-62.275458,-51.804554,-64.65336,-76.361895,-64.87719,-77.17319,-42.597417,-19.629506000000003,5.589633,11.300426,-1.0396977,2.1688724,-1.5068595999999999,48.49501299999999,-11.775749000000001,-14.603307,-33.062804,1.598693,-19.649047,-16.707243000000002,8.315769000000001,41.539390000000004,59.632227,20.30113,-12.9301185,23.995735
"May",,-126.07336,-108.039424,-88.41998,-55.751134,-86.38261999999999,-116.68033999999999,-46.436856999999996,-32.360338000000006,-45.81747,-46.242878000000005,-51.14947,-36.550081999999996,-85.98141,-33.8053,-50.108396,12.324227,19.145872,-5.7632285,-4.9074089999999995,19.085756,31.892262,-17.00271,-40.830918000000004,-3.3136832000000003,-9.523785,-26.333502000000003,12.611409,4.5608426,15.408316,47.05726,41.90311,19.125473,
"Jun",,-128.36204,-108.64437000000001,-112.95535,-108.38351999999999,-92.36825,-76.69167,-49.020857,-41.574743,-45.565914,-37.61776,-87.46133,-47.57744400000001,-80.38597999999999,-68.93101999999999,-86.70987,-47.523413,17.348027,-19.933157,-17.615551,11.010391,7.4133130000000005,-21.369334,-60.309254,-9.241468,-2.9511217,-32.194939999999995,-9.432341000000001,8.024946,13.183351,27.46341,31.312600000000003,23.673533,
"Jul",,-118.58654,-101.32005,-91.50126999999999,-73.68507000000001,-90.96238,-88.366315,-73.88396999999999,-37.747679999999995,-22.26369,-29.369352000000003,-83.20221,-59.228286,-81.52988,-51.555283,-71.739964,-9.786821,-12.747626,-13.192468,-7.0580095,7.0352405,1.9781133000000002,3.4606466,-42.82275,-13.200912,-6.19873,-2.4262615,-30.511964,10.573136,27.9972,45.008097,8.452061,22.213591,
"Aug",,-92.8835,-103.5477,-78.10783,-65.29283,-85.239805,-70.62682000000001,-55.489093000000004,-39.175796999999996,-5.0368425000000006,-25.783710000000003,-51.968180000000004,-58.897864,-66.55633,-39.8072,-55.25591,3.7352336,-2.6716928,17.070629,-7.987812000000001,19.242555000000003,15.736742000000001,8.522348000000001,-29.892545,4.215414,19.922644,15.295688,-24.474159999999998,11.758509,37.779152,60.9105,27.402587,11.903715,
"Sep",,-63.092090000000006,-56.02653,-32.390986,-37.267790000000005,-44.647906,-34.755601999999996,-33.31785,1.5266625,12.608728,-31.721313000000002,-20.645266,-17.088713,-12.192309999999999,-23.053212,-27.996374,6.474119,26.100721,26.81275,6.671918,51.109634,51.72991,13.694991,-5.7506873,38.438614,41.871984,29.836095999999998,12.213165,42.245560000000005,38.631730000000005,88.12165,56.52384,24.586713,
"Oct",42.898506000000005,6.738840000000001,-8.830401,5.0580620000000005,38.065933,-55.087533,30.580157,66.618115,26.449028,47.718633000000004,0.46971064999999995,58.620628,45.86833,23.19695,29.92618,33.373124999999995,64.078316,63.85547,120.62228999999999,68.07567,104.024306,131.6622,83.37214,41.28465,56.594443,120.32437,73.96237599999999,41.563551999999994,134.24282000000002,116.15225,176.50723,56.356370000000005,107.23183999999999,
"Nov",47.791865,7.000854,0.72639756,79.03066,65.06442,-41.035835,56.406144,71.41076000000001,83.983,103.04016,18.272987,60.419664,53.978518,64.878225,0.55713434,117.141664,147.89584,120.841116,159.88664,116.57818999999999,86.10063,115.93956499999999,91.466814,44.682182,97.17873,124.60937,97.54565,105.1719,183.20963,168.59029,138.20094999999998,66.37716,175.39455,
"Dec",-15.282438,64.76928,-12.20011,61.195373999999994,53.090934,-32.13143,87.48022499999999,144.05619,86.56716,67.91402000000001,51.510777,98.80425,40.195007,102.64555,80.99665999999999,91.829374,156.94821000000002,88.73855,158.1662,173.81342,138.49586,139.25082999999998,161.27653,103.32231,129.36966,180.21093,115.85755999999999,89.65012399999999,186.71311,205.00396,209.95668,103.70836999999999,211.93215,